country,access_to_electricity_percentage,individuals_using_internet_percentage,year
Namibia,44.4,11.6,2010
Namibia,42.3,12,2011
Namibia,46.4,12.94,2012
Namibia,47.4,13.9,2013
Namibia,48.38,14.84,2014
Namibia,51.6,25.69,2015
Namibia,49.7,31.03,2016
Namibia,52.5,36.84,2017
Namibia,52.32,40,2018
Namibia,53.28,44.83,2019
Namibia,52.3,48.76,2020
Nauru,99,54,2011
Nauru,99.83,62.39,2017
Nauru,100,74.74,2019
Nauru,100,76.68,2020
Nepal,68.6,7.93,2010
Nepal,67.26,9,2011
Nepal,75.21,11.15,2012
Nepal,77.44,13.3,2013
Nepal,84.9,15.44,2014
Nepal,82.01,17.58,2015
Nepal,90.7,20.7,2016
Nepal,86.62,24.3,2017
Nepal,93.92,28.6,2018
Nepal,89.9,34.81,2019
Nepal,89.9,45.85,2020
Netherlands,100,90.72,2010
Netherlands,100,91.42,2011
Netherlands,100,92.86,2012
Netherlands,100,93.96,2013
Netherlands,100,91.67,2014
Netherlands,100,91.72,2015
Netherlands,100,90.41,2016
Netherlands,100,93.2,2017
Netherlands,100,91.89,2018
Netherlands,100,93.29,2019
Netherlands,100,91.33,2020
"New Caledonia",100,42,2010
"New Caledonia",100,50,2011
"New Caledonia",100,58,2012
"New Caledonia",100,66,2013
"New Caledonia",100,70,2014
"New Caledonia",100,74,2015
"New Caledonia",100,82.01,2017
"New Zealand",100,80.46,2010
"New Zealand",100,81.23,2011
"New Zealand",100,81.64,2012
"New Zealand",100,82.78,2013
"New Zealand",100,84,2014
"New Zealand",100,85.2,2015
"New Zealand",100,86.5,2016
"New Zealand",100,87.7,2017
"New Zealand",100,89,2018
"New Zealand",100,89.86,2019
"New Zealand",100,92.87,2020
Nicaragua,80.13,10,2010
Nicaragua,81.2,10.6,2011
Nicaragua,81.28,13.5,2012
Nicaragua,81.9,15.5,2013
Nicaragua,81.85,17.6,2014
Nicaragua,83.24,19.7,2015
Nicaragua,83.95,24.57,2016
Nicaragua,84.63,30.4,2017
Nicaragua,85.21,37.6,2018
Nicaragua,85.66,44.92,2019
Nicaragua,86,53.4,2020
Nigeria,48,11.5,2010
Nigeria,55.9,13.8,2011
Nigeria,53.02,16.1,2012
Nigeria,55.6,19.1,2013
Nigeria,54.15,21,2014
Nigeria,52.5,24.5,2015
Nigeria,59.3,28.5,2016
Nigeria,54.4,33.2,2017
Nigeria,56.5,38.7,2018
Nigeria,55.4,45.03,2019
Nigeria,55.4,51.46,2020
"North America",100,72.54,2010
"North America",100,71.04,2011
"North America",100,75.52,2012
"North America",100,72.83,2013
"North America",100,74.4,2014
"North America",100,76.09,2015
"North America",100,86.1,2016
"North America",100,87.82,2017
"North America",100,89.11,2018
"North America",100,89.68,2019
"North America",100,90.79,2020
"North Macedonia",99.5,51.9,2010
"North Macedonia",99.73,56.7,2011
"North Macedonia",99.62,57.45,2012
"North Macedonia",99.72,65.24,2013
"North Macedonia",99.82,68.06,2014
"North Macedonia",99.9,70.38,2015
"North Macedonia",99.97,72.16,2016
"North Macedonia",99.99,74.52,2017
"North Macedonia",99.8,79.17,2018
"North Macedonia",100,81.41,2019
"North Macedonia",100,81.41,2020
Norway,100,93.39,2010
Norway,100,93.49,2011
Norway,100,94.65,2012
Norway,100,95.05,2013
Norway,100,96.3,2014
Norway,100,96.81,2015
Norway,100,97.3,2016
Norway,100,96.36,2017
Norway,100,96.49,2018
Norway,100,98,2019
Norway,100,94.61,2020
"OECD members",99.81,66.56,2010
"OECD members",99.79,67.54,2011
"OECD members",99.82,70.19,2012
"OECD members",99.84,71.53,2013
"OECD members",99.85,73.14,2014
"OECD members",99.84,75.68,2015
"OECD members",99.9,79.86,2016
"OECD members",99.94,80.51,2017
"OECD members",99.9,82.39,2018
"OECD members",99.94,84.78,2019
"OECD members",99.93,86.2,2020
Oman,100,35.83,2010
Oman,100,48,2011
Oman,100,60,2012
Oman,100,66.45,2013
Oman,100,70.22,2014
Oman,100,73.53,2015
Oman,100,76.85,2016
Oman,100,80.19,2017
Oman,100,85.5,2018
Oman,100,90.26,2019
Oman,100,95.23,2020
"Other small states",65.58,23.85,2010
"Other small states",67.52,27.25,2011
"Other small states",68.51,30.51,2012
"Other small states",69.66,35.4,2013
"Other small states",70.89,39.42,2014
"Other small states",72.41,43.37,2015
"Other small states",73.65,47.38,2016
"Other small states",74.67,51.27,2017
"Other small states",76.74,58.18,2018
"Other small states",77.58,60.22,2019
"Other small states",78.3,62.96,2020
"Pacific island small states",71.58,12.98,2010
"Pacific island small states",72.69,17.64,2011
"Pacific island small states",73.79,20.69,2012
"Pacific island small states",72.64,21.96,2013
"Pacific island small states",76.66,24.64,2014
"Pacific island small states",78.68,27.89,2015
"Pacific island small states",80.13,31.94,2016
"Pacific island small states",82.36,40.54,2017
"Pacific island small states",84.59,55.03,2019
"Pacific island small states",86.43,61.17,2020
Pakistan,87.12,8,2010
Pakistan,87.84,8,2011
Pakistan,88.57,8.1,2012
Pakistan,89.33,9,2013
Pakistan,90.14,10,2014
Pakistan,90.98,11,2015
Pakistan,91.83,12.39,2016
Pakistan,92.66,13.78,2017
Pakistan,93.4,15.34,2018
Pakistan,93.9,17.07,2019
Pakistan,94.49,18.93,2020
Panama,86.85,40.1,2010
Panama,88.55,42.7,2011
Panama,89.32,40.3,2012
Panama,89.1,44.03,2013
Panama,90.85,44.92,2014
Panama,91.6,51.21,2015
Panama,92.36,54,2016
Panama,93.7,59.95,2017
Panama,93.8,61.81,2018
Panama,93.9,63.63,2019
Panama,95.34,65.54,2020
Paraguay,97.43,19.8,2010
Paraguay,98.24,24.76,2011
Paraguay,97.84,29.34,2012
Paraguay,99.02,36.9,2013
Paraguay,99,43,2014
Paraguay,99.33,49.72,2015
Paraguay,98.4,53.4,2016
Paraguay,99.3,61.08,2017
Paraguay,99.6,64.99,2018
Paraguay,99.7,68.52,2019
Paraguay,99.7,73.96,2020
Peru,88.12,34.77,2010
Peru,89.71,36.01,2011
Peru,91.1,38.2,2012
Peru,92.14,39.2,2013
Peru,92.92,40.2,2014
Peru,93.85,40.85,2015
Peru,94.2,45.46,2016
Peru,94.8,50.45,2017
Peru,95.2,55.05,2018
Peru,95.55,59.95,2019
Peru,96.2,65.25,2020
Philippines,85.48,25,2010
Philippines,87.2,29,2011
Philippines,87.08,30.8,2012
Philippines,87.5,32.7,2013
Philippines,89.76,34.7,2014
Philippines,89.08,36.9,2015
Philippines,91.98,39.2,2016
Philippines,93,41.6,2017
Philippines,94.19,44.1,2018
Philippines,95.29,43.03,2019
Philippines,96.39,47.11,2020
Poland,100,62.32,2010
Poland,100,61.95,2011
Poland,100,62.31,2012
Poland,100,62.85,2013
Poland,100,66.6,2014
Poland,100,68,2015
Poland,100,73.3,2016
Poland,100,75.99,2017
Poland,100,77.54,2018
Poland,100,80.44,2019
Poland,100,83.18,2020
Portugal,100,53.3,2010
Portugal,100,55.25,2011
Portugal,100,60.34,2012
Portugal,100,62.1,2013
Portugal,100,64.59,2014
Portugal,100,68.63,2015
Portugal,100,70.42,2016
Portugal,100,73.79,2017
Portugal,100,74.66,2018
Portugal,100,75.35,2019
Portugal,100,78.26,2020
"Post-demographic dividend",99.88,70.98,2010
"Post-demographic dividend",99.89,71.4,2011
"Post-demographic dividend",99.9,74.21,2012
"Post-demographic dividend",99.92,75.7,2013
"Post-demographic dividend",99.93,77.37,2014
"Post-demographic dividend",99.94,78.68,2015
"Post-demographic dividend",99.96,83.18,2016
"Post-demographic dividend",99.97,84.41,2017
"Post-demographic dividend",99.98,85.98,2018
"Post-demographic dividend",99.99,87.47,2019
"Post-demographic dividend",100,88.62,2020
"Pre-demographic dividend",32.65,5.03,2010
"Pre-demographic dividend",36.04,6.08,2011
"Pre-demographic dividend",37.45,7.32,2012
"Pre-demographic dividend",38.33,8.82,2013
"Pre-demographic dividend",39.84,10.91,2014
"Pre-demographic dividend",40.06,12.89,2015
"Pre-demographic dividend",44.61,15.91,2016
"Pre-demographic dividend",44.32,18.82,2017
"Pre-demographic dividend",47.08,22.67,2018
"Pre-demographic dividend",47.58,26.05,2019
"Pre-demographic dividend",48.38,30.37,2020
"Puerto Rico",100,45.3,2010
"Puerto Rico",100,48,2011
"Puerto Rico",100,69,2012
"Puerto Rico",100,69,2013
"Puerto Rico",100,69,2014
"Puerto Rico",100,63.47,2015
"Puerto Rico",100,68.64,2016
"Puerto Rico",100,68.74,2017
"Puerto Rico",100,70.86,2018
"Puerto Rico",100,77.74,2019
Qatar,100,69,2010
Qatar,100,69,2011
Qatar,100,69.3,2012
Qatar,100,85.3,2013
Qatar,100,91.49,2014
Qatar,100,92.88,2015
Qatar,100,95.12,2016
Qatar,100,97.39,2017
Qatar,100,99.65,2018
Qatar,100,99.65,2019
Qatar,100,99.65,2020
Romania,97.1,39.93,2010
Romania,97.43,40.01,2011
Romania,97.77,45.88,2012
Romania,98.1,49.76,2013
Romania,98.43,54.08,2014
Romania,98.76,55.76,2015
Romania,99.1,59.5,2016
Romania,100,63.75,2017
Romania,99.82,70.68,2018
Romania,100,73.66,2019
Romania,100,78.46,2020
"Russian Federation",99.27,49,2010
"Russian Federation",99.21,58,2011
"Russian Federation",100,66,2012
"Russian Federation",100,67.97,2013
"Russian Federation",100,70.52,2014
"Russian Federation",95.5,70.1,2015
"Russian Federation",99.41,73.09,2016
"Russian Federation",100,76.01,2017
"Russian Federation",100,80.86,2018
"Russian Federation",99.78,82.64,2019
"Russian Federation",99.9,84.99,2020
Rwanda,34.1,17.2,2017
Rwanda,37.96,19.2,2018
Rwanda,46.6,21.36,2019
Rwanda,45.19,23.8,2020
Samoa,96.41,7,2010
Samoa,96.67,11,2011
Samoa,96.78,12.92,2012
Samoa,97,15.3,2013
Samoa,97.9,21.2,2014
Samoa,98.16,25.41,2015
Samoa,98.86,31.7,2016
Samoa,96.8,39.4,2017
Samoa,99.82,49.1,2018
Samoa,99.2,61.21,2019
Samoa,100,69.21,2020
"Sao Tome and Principe",61.44,18.75,2010
"Sao Tome and Principe",62.61,20.16,2011
"Sao Tome and Principe",57.9,21.57,2012
"Sao Tome and Principe",64.96,23,2013
"Sao Tome and Principe",68.6,24.41,2014
"Sao Tome and Principe",67.31,25.82,2015
"Sao Tome and Principe",69.36,28,2016
"Sao Tome and Principe",74.27,29.93,2017
"Sao Tome and Principe",71,30.08,2018
"Sao Tome and Principe",75.12,30.23,2019
"Sao Tome and Principe",76.81,40.31,2020
"Saudi Arabia",100,41,2010
"Saudi Arabia",100,47.5,2011
"Saudi Arabia",100,54,2012
"Saudi Arabia",100,60.5,2013
"Saudi Arabia",100,64.71,2014
"Saudi Arabia",100,69.62,2015
"Saudi Arabia",99.9,74.88,2016
"Saudi Arabia",99.97,94.18,2017
"Saudi Arabia",99.89,93.31,2018
"Saudi Arabia",99.99,95.72,2019
"Saudi Arabia",99.99,97.86,2020
Senegal,56.5,8,2010
Senegal,56.5,9.8,2011
Senegal,56.5,10.8,2012
Senegal,57,13.1,2013
Senegal,61,17.7,2014
Senegal,60.5,21.7,2015
Senegal,64.5,25.66,2016
Senegal,61.7,29.64,2017
Senegal,66,35.3,2018
Senegal,70.4,36.24,2019
Senegal,64.3,47.18,2020
Serbia,99.72,40.9,2010
Serbia,99.74,42.2,2011
Serbia,99.79,48.1,2012
Serbia,99.92,53.45,2013
Serbia,99.66,62.08,2014
Serbia,99.9,65.32,2015
Serbia,99.95,67.06,2016
Serbia,100,70.33,2017
Serbia,99.99,73.36,2018
Serbia,99.8,77.42,2019
Serbia,100,78.37,2020
Seychelles,97,41,2010
Seychelles,98.08,43.16,2011
Seychelles,98.3,47.08,2012
Seychelles,98,50.4,2013
Seychelles,100,51.25,2014
Seychelles,100,54.26,2015
Seychelles,100,56.51,2016
Seychelles,100,58.77,2017
Seychelles,100,70.1,2018
Seychelles,100,74.76,2019
Seychelles,100,75.47,2020
Singapore,100,71,2010
Singapore,100,71,2011
Singapore,100,72,2012
Singapore,100,80.9,2013
Singapore,100,82.1,2014
Singapore,100,83.2,2015
Singapore,100,84.45,2016
Singapore,100,84.45,2017
Singapore,100,88.17,2018
Singapore,100,88.95,2019
Singapore,100,92,2020
"Slovak Republic",100,75.71,2010
"Slovak Republic",100,74.44,2011
"Slovak Republic",100,76.71,2012
"Slovak Republic",100,77.88,2013
"Slovak Republic",100,79.98,2014
"Slovak Republic",100,77.63,2015
"Slovak Republic",100,80.48,2016
"Slovak Republic",100,81.63,2017
"Slovak Republic",100,80.45,2018
"Slovak Republic",100,82.85,2019
"Slovak Republic",100,89.92,2020
Slovenia,100,70,2010
Slovenia,100,67.34,2011
Slovenia,100,68.35,2012
Slovenia,100,72.68,2013
Slovenia,100,71.59,2014
Slovenia,100,73.1,2015
Slovenia,100,75.5,2016
Slovenia,100,78.89,2017
Slovenia,100,79.75,2018
Slovenia,100,83.11,2019
Slovenia,100,86.6,2020
"Small states",71.42,25.47,2010
"Small states",72.78,29.57,2011
"Small states",73.81,32.24,2012
"Small states",74.63,36.42,2013
"Small states",75.73,40.2,2014
"Small states",77.09,43.77,2015
"Small states",78.23,47.47,2016
"Small states",79.18,51.9,2017
"Small states",80.82,59.32,2018
"Small states",81.62,62.3,2019
"Small states",82.37,65.51,2020
"Solomon Islands",35.42,5,2010
"Solomon Islands",39.14,6,2011
"Solomon Islands",42.88,7,2012
"Solomon Islands",44.7,8,2013
"Solomon Islands",50.48,9,2014
"Solomon Islands",55.1,10,2015
"Solomon Islands",58.2,11,2016
"Solomon Islands",62.9,11.92,2017
"Solomon Islands",69.4,28.2,2019
"Solomon Islands",72.9,35.88,2020
Somalia,51.55,1.5,2013
Somalia,51.38,1.63,2014
Somalia,51.24,1.76,2015
Somalia,51.12,1.88,2016
Somalia,52.1,2,2017
"South Africa",82.8,24,2010
"South Africa",83.6,33.97,2011
"South Africa",85.2,41,2012
"South Africa",85.2,46.5,2013
"South Africa",85.9,49,2014
"South Africa",85.3,51.92,2015
"South Africa",83.9,54,2016
"South Africa",84.4,56.17,2017
"South Africa",84.7,62.4,2018
"South Africa",85,69.7,2019
"South Africa",90,70.32,2020
"South Asia",75.11,7.17,2010
"South Asia",78,9.22,2011
"South Asia",79.48,10.1,2012
"South Asia",81.67,11.3,2013
"South Asia",83.88,12.83,2014
"South Asia",86.78,14.2,2015
"South Asia",88.91,16.2,2016
"South Asia",91.67,18.01,2017
"South Asia",94.62,20.23,2018
"South Asia",95.31,27.99,2019
"South Asia",96.19,38.98,2020
"South Asia (IDA & IBRD)",75.11,7.17,2010
"South Asia (IDA & IBRD)",78,9.22,2011
"South Asia (IDA & IBRD)",79.48,10.1,2012
"South Asia (IDA & IBRD)",81.67,11.3,2013
"South Asia (IDA & IBRD)",83.88,12.83,2014
"South Asia (IDA & IBRD)",86.78,14.2,2015
"South Asia (IDA & IBRD)",88.91,16.2,2016
"South Asia (IDA & IBRD)",91.67,18.01,2017
"South Asia (IDA & IBRD)",94.62,20.23,2018
"South Asia (IDA & IBRD)",95.31,27.99,2019
"South Asia (IDA & IBRD)",96.19,38.98,2020
Spain,100,65.8,2010
Spain,100,67.09,2011
Spain,100,69.81,2012
Spain,100,71.64,2013
Spain,100,76.19,2014
Spain,100,78.69,2015
Spain,100,80.56,2016
Spain,100,84.6,2017
Spain,100,86.11,2018
Spain,100,90.72,2019
Spain,100,93.21,2020
"Sri Lanka",92.7,10.5,2014
"Sri Lanka",94.33,15.26,2015
"Sri Lanka",97.5,22.19,2016
"Sri Lanka",97.5,32.25,2017
"Sri Lanka",99.59,46.9,2018
"Sri Lanka",99.76,50.69,2019
"Sri Lanka",99.97,36.18,2020
"St. Kitts and Nevis",99.83,63,2010
"St. Kitts and Nevis",100,63.2,2011
"St. Kitts and Nevis",100,64,2012
"St. Kitts and Nevis",100,64.6,2013
"St. Kitts and Nevis",100,68,2014
"St. Kitts and Nevis",100,75.7,2015
"St. Kitts and Nevis",100,76.82,2016
"St. Kitts and Nevis",100,80.71,2017
"St. Kitts and Nevis",100,79.78,2019
"St. Kitts and Nevis",100,80.36,2020
"St. Lucia",94.2,32.5,2010
"St. Lucia",95.35,34,2011
"St. Lucia",95.34,45.86,2012
"St. Lucia",97.16,49.4,2013
"St. Lucia",98.06,53.2,2014
"St. Lucia",98.96,57.3,2015
"St. Lucia",99.85,61.7,2016
"St. Lucia",99.9,66.4,2017
"St. Lucia",99.99,71.5,2018
"St. Lucia",100,76.98,2019
"St. Lucia",100,77.54,2020
"St. Vincent and the Grenadines",92.74,33.7,2010
"St. Vincent and the Grenadines",94.09,36.7,2011
"St. Vincent and the Grenadines",95.43,40,2012
"St. Vincent and the Grenadines",96.78,43.5,2013
"St. Vincent and the Grenadines",98.11,47.4,2014
"St. Vincent and the Grenadines",99.45,49.4,2015
"St. Vincent and the Grenadines",99.74,51.5,2016
"St. Vincent and the Grenadines",99.97,53.7,2017
"St. Vincent and the Grenadines",100,56,2018
"St. Vincent and the Grenadines",100,73.97,2019
"St. Vincent and the Grenadines",100,80.43,2020
"Sub-Saharan Africa",33.25,6.14,2010
"Sub-Saharan Africa",35.8,7.6,2011
"Sub-Saharan Africa",36.69,9.28,2012
"Sub-Saharan Africa",37.92,11.16,2013
"Sub-Saharan Africa",38.26,13.37,2014
"Sub-Saharan Africa",39.11,16.01,2015
"Sub-Saharan Africa",43.73,18.64,2016
"Sub-Saharan Africa",43.68,21.27,2017
"Sub-Saharan Africa",46.34,24.83,2018
"Sub-Saharan Africa",47.13,27.76,2019
"Sub-Saharan Africa",48.48,31.82,2020
"Sub-Saharan Africa (IDA & IBRD countries)",33.25,6.14,2010
"Sub-Saharan Africa (IDA & IBRD countries)",35.8,7.6,2011
"Sub-Saharan Africa (IDA & IBRD countries)",36.69,9.28,2012
"Sub-Saharan Africa (IDA & IBRD countries)",37.92,11.16,2013
"Sub-Saharan Africa (IDA & IBRD countries)",38.26,13.37,2014
"Sub-Saharan Africa (IDA & IBRD countries)",39.11,16.01,2015
"Sub-Saharan Africa (IDA & IBRD countries)",43.73,18.64,2016
"Sub-Saharan Africa (IDA & IBRD countries)",43.68,21.27,2017
"Sub-Saharan Africa (IDA & IBRD countries)",46.34,24.83,2018
"Sub-Saharan Africa (IDA & IBRD countries)",47.13,27.76,2019
"Sub-Saharan Africa (IDA & IBRD countries)",48.48,31.82,2020
"Sub-Saharan Africa (excluding high income)",33.24,6.13,2010
"Sub-Saharan Africa (excluding high income)",35.8,7.59,2011
"Sub-Saharan Africa (excluding high income)",36.68,9.28,2012
"Sub-Saharan Africa (excluding high income)",37.92,11.16,2013
"Sub-Saharan Africa (excluding high income)",38.25,13.37,2014
"Sub-Saharan Africa (excluding high income)",39.11,16.01,2015
"Sub-Saharan Africa (excluding high income)",43.73,18.63,2016
"Sub-Saharan Africa (excluding high income)",43.67,21.27,2017
"Sub-Saharan Africa (excluding high income)",46.34,24.82,2018
"Sub-Saharan Africa (excluding high income)",47.13,27.76,2019
"Sub-Saharan Africa (excluding high income)",48.48,31.82,2020
Sudan,50.5,14.1,2016
Sudan,52.97,18.6,2017
Sudan,55.34,24.6,2018
Sudan,57.57,25.9,2019
Sudan,59.7,28.4,2020
Suriname,91.2,31.59,2010
Suriname,94.6,32,2011
Suriname,94.59,34.68,2012
Suriname,94.58,37.4,2013
Suriname,94.56,40.08,2014
Suriname,94.98,42.76,2015
Suriname,95.82,45.4,2016
Suriname,96.63,48.95,2017
Suriname,97.4,53.8,2018
Suriname,97.93,56.8,2019
Suriname,98.4,62.09,2020
Sweden,100,90,2010
Sweden,100,92.77,2011
Sweden,100,93.18,2012
Sweden,100,94.78,2013
Sweden,100,92.52,2014
Sweden,100,90.61,2015
Sweden,100,89.65,2016
Sweden,100,93.01,2017
Sweden,100,89.25,2018
Sweden,100,94.49,2019
Sweden,100,94.54,2020
Switzerland,100,83.9,2010
Switzerland,100,85.19,2011
Switzerland,100,85.2,2012
Switzerland,100,86.34,2013
Switzerland,100,87.4,2014
Switzerland,100,87.48,2015
Switzerland,100,89.13,2016
Switzerland,100,89.69,2017
Switzerland,100,91.8,2018
Switzerland,100,93.15,2019
Switzerland,100,94.35,2020
"Syrian Arab Republic",92.7,20.7,2010
"Syrian Arab Republic",91.45,22.5,2011
"Syrian Arab Republic",90.71,24.3,2012
"Syrian Arab Republic",90.4,26.2,2013
"Syrian Arab Republic",90.22,28.09,2014
"Syrian Arab Republic",90.03,29.98,2015
"Syrian Arab Republic",89.83,31.87,2016
"Syrian Arab Republic",89.63,32.7,2017
"Syrian Arab Republic",86,33.77,2018
"Syrian Arab Republic",89.23,34.65,2019
"Syrian Arab Republic",89.03,35.78,2020
Tajikistan,98.79,11.55,2010
Tajikistan,98.87,13.03,2011
Tajikistan,99.1,14.51,2012
Tajikistan,99.04,16,2013
Tajikistan,99.12,17.49,2014
Tajikistan,98,18.98,2015
Tajikistan,99.26,20.47,2016
Tajikistan,99.3,21.96,2017
Tanzania,32.8,13.5,2016
Tanzania,32.1,16,2017
Tanzania,34.93,17.1,2018
Tanzania,37.7,18.28,2019
Tanzania,39.9,23.45,2020
Thailand,99.7,22.4,2010
Thailand,99.32,23.67,2011
Thailand,99.11,26.46,2012
Thailand,99.4,28.94,2013
Thailand,99.51,34.89,2014
Thailand,99.6,39.32,2015
Thailand,99.89,47.5,2016
Thailand,99.9,52.89,2017
Thailand,99.82,56.82,2018
Thailand,99.9,66.65,2019
Thailand,100,77.84,2020
Timor-Leste,38,3,2010
Timor-Leste,52.72,4,2011
Timor-Leste,55.95,7,2012
Timor-Leste,59.18,11,2013
Timor-Leste,62.41,17.5,2014
Timor-Leste,67.28,18.6,2015
Timor-Leste,76.5,21.2,2016
Timor-Leste,79.54,24.2,2017
Timor-Leste,85.16,27.6,2018
Timor-Leste,90.63,28,2019
Timor-Leste,96,34.13,2020
Togo,30.79,3,2010
Togo,39.7,3.5,2011
Togo,39.13,4,2012
Togo,40.95,4.5,2013
Togo,45.7,5.7,2014
Togo,44.75,7.12,2015
Togo,46.77,11.31,2016
Togo,48,12.36,2017
Togo,50,15.5,2018
Togo,52.46,20.73,2019
Togo,54.13,29.08,2020
Tonga,92.77,16,2010
Tonga,92.18,25,2011
Tonga,92.8,30,2012
Tonga,95.11,32.75,2013
Tonga,95.89,35.95,2014
Tonga,100,38.65,2015
Tonga,97.02,39.95,2016
Tonga,98.21,46.2,2017
Tonga,99.01,53.4,2018
Tonga,98.4,61.79,2019
Tonga,99.86,66.65,2020
"Trinidad and Tobago",100,48.5,2010
"Trinidad and Tobago",97.5,55.2,2011
"Trinidad and Tobago",100,57.5,2012
"Trinidad and Tobago",100,59.9,2013
"Trinidad and Tobago",100,62.4,2014
"Trinidad and Tobago",100,65.1,2015
"Trinidad and Tobago",100,67.8,2016
"Trinidad and Tobago",100,70.6,2017
"Trinidad and Tobago",100,78.96,2019
"Trinidad and Tobago",100,78.67,2020
Tunisia,99.5,36.8,2010
Tunisia,99.5,39.1,2011
Tunisia,99.5,41.44,2012
Tunisia,99.7,43.8,2013
Tunisia,99.8,46.16,2014
Tunisia,99.9,46.5,2015
Tunisia,100,49.6,2016
Tunisia,100,55.5,2017
Tunisia,99.8,64.19,2018
Tunisia,100,66.7,2019
Tunisia,99.9,72.81,2020
Turkiye,100,39.82,2010
Turkiye,100,43.07,2011
Turkiye,100,45.13,2012
Turkiye,100,46.25,2013
Turkiye,100,51.04,2014
Turkiye,100,53.74,2015
Turkiye,100,58.35,2016
Turkiye,100,64.68,2017
Turkiye,100,71.04,2018
Turkiye,100,73.98,2019
Turkiye,100,77.67,2020
Turkmenistan,100,3,2010
Turkmenistan,99.81,5,2011
Turkmenistan,99.88,7.2,2012
Turkmenistan,99.94,9.6,2013
Turkmenistan,99.98,12.2,2014
Turkmenistan,100,15,2015
Turkmenistan,100,17.99,2016
Turkmenistan,100,21.25,2017
Tuvalu,96.74,14.6,2010
Tuvalu,97.02,16.5,2011
Tuvalu,97.67,18.7,2012
Tuvalu,97.58,21.2,2013
Tuvalu,97.85,24.1,2014
Tuvalu,98.12,27.3,2015
Tuvalu,97.3,31,2016
Tuvalu,98.72,35.2,2017
Uganda,32.39,5.9,2017
Uganda,41.92,6,2018
Uganda,41.3,6.02,2019
Uganda,42.14,6.1,2020
Ukraine,99.97,23.3,2010
Ukraine,100,28.71,2011
Ukraine,99.87,35.27,2012
Ukraine,100,40.95,2013
Ukraine,100,46.24,2014
Ukraine,100,48.88,2015
Ukraine,100,53,2016
Ukraine,100,58.89,2017
Ukraine,100,62.55,2018
Ukraine,100,70.12,2019
Ukraine,100,75.04,2020
"United Arab Emirates",100,68,2010
"United Arab Emirates",100,78,2011
"United Arab Emirates",100,85,2012
"United Arab Emirates",100,88,2013
"United Arab Emirates",100,90.4,2014
"United Arab Emirates",100,90.5,2015
"United Arab Emirates",100,90.6,2016
"United Arab Emirates",100,94.82,2017
"United Arab Emirates",100,98.45,2018
"United Arab Emirates",100,99.15,2019
"United Arab Emirates",100,100,2020
"United Kingdom",100,85,2010
"United Kingdom",100,85.38,2011
"United Kingdom",100,87.48,2012
"United Kingdom",100,89.84,2013
"United Kingdom",100,91.61,2014
"United Kingdom",100,92,2015
"United Kingdom",100,94.78,2016
"United Kingdom",100,90.42,2017
"United Kingdom",100,90.69,2018
"United Kingdom",100,92.52,2019
"United Kingdom",100,94.82,2020
"United States",100,71.69,2010
"United States",100,69.73,2011
"United States",100,74.7,2012
"United States",100,71.4,2013
"United States",100,73,2014
"United States",100,74.55,2015
"United States",100,85.54,2016
"United States",100,87.27,2017
"United States",100,88.5,2018
"United States",100,89.43,2019
"United States",100,90.62,2020
"Upper middle income",98.16,32.51,2010
"Upper middle income",98.38,36.75,2011
"Upper middle income",98.68,40.71,2012
"Upper middle income",98.8,43.56,2013
"Upper middle income",98.9,46.11,2014
"Upper middle income",98.74,49.47,2015
"Upper middle income",98.98,52.71,2016
"Upper middle income",99.14,55.23,2017
"Upper middle income",99.15,60.15,2018
"Upper middle income",99.24,65.38,2019
"Upper middle income",99.18,70.82,2020
Uruguay,99.3,46.4,2010
Uruguay,99.17,51.4,2011
Uruguay,99.6,54.45,2012
Uruguay,99.61,57.69,2013
Uruguay,99.66,61.46,2014
Uruguay,99.71,64.57,2015
Uruguay,99.7,66.4,2016
Uruguay,99.8,70.32,2017
Uruguay,99.8,80.73,2018
Uruguay,99.9,83.35,2019
Uruguay,100,86.31,2020
Uzbekistan,99.6,15.9,2010
Uzbekistan,99.66,18.6,2011
Uzbekistan,99.72,23.6,2012
Uzbekistan,99.78,26.8,2013
Uzbekistan,99.84,35.5,2014
Uzbekistan,99.89,42.8,2015
Uzbekistan,99.94,46.79,2016
Uzbekistan,99.97,48.7,2017
Uzbekistan,99.99,55.2,2018
Uzbekistan,100,70.4,2019
Uzbekistan,100,71.1,2020
Vanuatu,44.1,8,2010
Vanuatu,42.04,9.2,2011
Vanuatu,43.91,10.6,2012
Vanuatu,31.7,11.3,2013
Vanuatu,49.12,18.8,2014
Vanuatu,52.26,22.35,2015
Vanuatu,57.82,24,2016
Vanuatu,62.8,30.8,2017
Vanuatu,61.6,39.5,2018
Vanuatu,64.5,50.73,2019
Vanuatu,67.3,53.28,2020
"Venezuela, RB",99.09,37.37,2010
"Venezuela, RB",98.84,40.22,2011
"Venezuela, RB",99.28,49.05,2012
"Venezuela, RB",99.37,54.9,2013
"Venezuela, RB",100,57,2014
"Viet Nam",97.43,30.65,2010
"Viet Nam",99,35.07,2011
"Viet Nam",97.89,36.8,2012
"Viet Nam",98.53,38.5,2013
"Viet Nam",99.2,41,2014
"Viet Nam",99.25,45,2015
"Viet Nam",99.2,53,2016
"Viet Nam",100,58.14,2017
"Viet Nam",100,69.85,2018
"Viet Nam",99.4,68.66,2019
"Viet Nam",99.8,70.3,2020
